Year,ONI Calendar Year,ONI Met Year,ONI Cool Season
1950.0,-0.9,-0.5,-0.6
1951.0,0.4,0.7,0.6
1952.0,0.2,0.2,0.4
1953.0,0.7,0.6,0.6
1954.0,-0.4,-0.7,-0.7
1955.0,-0.9,-1.0,-1.1
1956.0,-0.6,-0.2,-0.1
1957.0,1.0,1.4,1.6
1958.0,0.8,0.5,0.6
1959.0,0.1,-0.1,-0.1
1960.0,0.1,0.1,0.1
1961.0,-0.0,-0.1,-0.2
1962.0,-0.2,-0.1,-0.2
1963.0,0.7,0.8,0.9
1964.0,-0.3,-0.5,-0.5
1965.0,0.9,1.3,1.4
1966.0,0.4,-0.1,-0.4
1967.0,-0.3,-0.4,-0.6
1968.0,0.1,0.7,1.0
1969.0,0.7,0.5,0.5
1970.0,-0.3,-0.8,-1.2
1971.0,-0.9,-0.6,-0.6
1972.0,0.9,1.3,1.6
1973.0,-0.6,-1.4,-1.7
1974.0,-0.9,-0.6,-0.6
1975.0,-1.1,-1.2,-1.3
1976.0,-0.0,0.4,0.7
1977.0,0.5,0.4,0.6
1978.0,-0.1,-0.1,0.0
1979.0,0.3,0.3,0.5
1980.0,0.3,-0.0,-0.2
1981.0,-0.3,-0.1,-0.0
1982.0,1.0,1.5,2.0
1983.0,0.5,-0.2,-0.7
1984.0,-0.5,-0.6,-0.9
1985.0,-0.6,-0.4,-0.4
1986.0,0.3,0.7,1.2
1987.0,1.3,1.0,0.8
1988.0,-0.8,-1.3,-1.6
1989.0,-0.6,-0.1,0.1
1990.0,0.3,0.3,0.3
1991.0,0.6,1.1,1.5
1992.0,0.6,0.3,0.1
1993.0,0.3,0.2,0.1
1994.0,0.5,0.6,0.9
1995.0,-0.2,-0.6,-0.8
1996.0,-0.5,-0.3,-0.4
1997.0,1.2,1.8,2.1
1998.0,-0.1,-1.0,-1.4
1999.0,-1.2,-1.2,-1.5
2000.0,-0.8,-0.6,-0.6
2001.0,-0.3,-0.1,-0.1
2002.0,0.6,0.8,0.9
2003.0,0.2,0.2,0.3
2004.0,0.4,0.5,0.6
2005.0,0.0,-0.3,-0.7
2006.0,0.1,0.3,0.5
2007.0,-0.6,-1.1,-1.5
2008.0,-0.8,-0.5,-0.7
2009.0,0.3,0.8,1.3
2010.0,-0.5,-1.2,-1.4
2011.0,-0.9,-0.7,-0.9
2012.0,-0.2,-0.1,-0.3
2013.0,-0.3,-0.3,-0.3
2014.0,0.1,0.4,0.6
2015.0,1.5,1.9,2.3
2016.0,0.3,-0.3,-0.3
2017.0,-0.2,-0.4,-0.9
2018.0,0.0,0.5,0.8
2019.0,0.5,0.4,0.5
2020.0,-0.4,-0.8,-1.1
2021.0,-0.7,-0.8,-1.0
2022.0,-0.9,-0.7,-0.6
2023.0,0.8,1.3,1.7
